Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Sri Asih,17/11/2022,Drama,Upi Avianto,Pevita Pearce:Reza Rahadian:Christine Hakim,Jefri Nichol:Dimas Anggara:Surya Saputra,id,134,0,0,6.444,
Oppenheimer,19/07/2023,Drama,Christopher Nolan,Cillian Murphy:Emily Blunt:Matt Damon,Robert Downey Jr.:Florence Pugh:Josh Hartnett,en,181,100000000,952000000,8.112,R
Bob Marley: One Love,14/02/2024,Drama,Reinaldo Marcus Green,Kingsley Ben-Adir:Lashana Lynch:James Norton,Tosin Cole:Micheal Ward:Jesse Cilio,en,104,70000000,169527503,6.946,PG-13
Art of Love,14/03/2024,Drama,Recai Karagöz,Birkan Sokullu:Esra Bilgiç:Fırat Tanış,Ushan Çakır:Hakan Ummak:Osman Alkaş,tr,99,0,0,7.1,PG-13
The Beekeeper,08/01/2024,Drama,David Ayer,Jason Statham:Emmy Raver-Lampman:Bobby Naderi,Josh Hutcherson:Jeremy Irons:Taylor James,en,105,35000000,151417661,7.477,R
#Blue_Whale,07/10/2021,Drama,Anna Zaytseva,Anna Potebnya:Timofey Eletskiy:Ekaterina Stulova,Diana Shulmina:Olga Pipchenko:Polina Vataga,ru,93,0,0,6.46,
Spaceman,23/02/2024,Drama,Johan Renck,Adam Sandler:Paul Dano:Carey Mulligan,Kunal Nayyar:Isabella Rossellini:Lena Olin,en,108,40000000,0,6.715,R
Robot Dreams,20/10/2023,Drama,Pablo Berger,Ivan Labanda:Tito Trifol:Rafa Calvo,José García Tos:José Luis Mediavilla:Graciela Molina,xx,102,6000000,756864,7.508,
Dogman,27/09/2023,Drama,Luc Besson,Caleb Landry Jones:Jojo T. Gibbs:Christopher Denham,Grace Palma:Clemens Schick:John Charles Aguilar,en,115,22700000,3950070,7.67,R
Napoleon,22/11/2023,Drama,Ridley Scott,Joaquin Phoenix:Vanessa Kirby:Tahar Rahim,Rupert Everett:Mark Bonnar:Paul Rhys,en,158,165000000,220597098,6.477,R
The Hunger Games: The Ballad of Songbirds & Snakes,15/11/2023,Drama,Francis Lawrence,Tom Blyth:Rachel Zegler:Peter Dinklage,Jason Schwartzman:Hunter Schafer:Josh Andrés Rivera,en,157,100000000,337134868,7.2,PG-13
Inside Out 2,13/06/2024,Drama,Kelsey Mann,Amy Poehler:Lewis Black:Phyllis Smith,Tony Hale:Liza Lapira:Maya Hawke,en,0,0,0,0,
Through My Window 3: Looking at You,23/02/2024,Drama,Marçal Forés,Clara Galle:Julio Peña:Natalia Azahara,Eric Masip:Andrea Chaparro:Emilia Lazo,es,105,0,0,6.97,
Rebel Moon - Part One: A Child of Fire,15/12/2023,Drama,Zack Snyder,Sofia Boutella:Michiel Huisman:Ed Skrein,Djimon Hounsou:Bae Doona:Staz Nair,en,134,83000000,0,6.374,PG-13
Interstellar,05/11/2014,Drama,Christopher Nolan,Matthew McConaughey:Anne Hathaway:Jessica Chastain,Michael Caine:Bill Irwin:Ellen Burstyn,en,169,165000000,701729206,8.431,PG-13
Killers of the Flower Moon,18/10/2023,Drama,Martin Scorsese,Leonardo DiCaprio:Lily Gladstone:Robert De Niro,Jesse Plemons:Scott Shepherd:Cara Jade Myers,en,206,200000000,156922344,7.5,R
Kalikot,12/03/2024,Drama,Artemio Abad,Van Allen Ong:Sheila Snow:Arah Alonzo,Raul Montesa:Unique Valdez Cajeda:Rome Fontilar,tl,49,0,0,10,
My Fault,08/06/2023,Drama,Domingo González,Nicole Wallace:Gabriel Guevara:Marta Hazas,Iván Sánchez:Eva Ruiz:Víctor Varona,es,117,0,0,7.99,
Inside Out,09/06/2015,Drama,Pete Docter,Amy Poehler:Phyllis Smith:Bill Hader,Lewis Black:Mindy Kaling:Richard Kind,en,95,175000000,857611174,7.917,PG
Trunk - Locked In,24/11/2023,Drama,Marc Schießer,Sina Martens:Artjom Gilz:Luise Helm,Poal Cairo:Charles Rettinghaus:Janina Sachau,de,96,0,0,5.9,
Miller's Girl,18/01/2024,Drama,Jade Halley Bartlett,Martin Freeman:Jenna Ortega:Bashir Salahuddin,Gideon Adlon:Dagmara Domińczyk:Christine Adams,en,93,4000000,647147,6.833,R
Gran Turismo,09/08/2023,Drama,Neill Blomkamp,Archie Madekwe:David Harbour:Orlando Bloom,Djimon Hounsou:Darren Barnet:Maeve Courtier-Lilley,en,135,60000000,121700000,7.878,PG-13
Whiplash,10/10/2014,Drama,Damien Chazelle,Miles Teller:J.K. Simmons:Paul Reiser,Melissa Benoist:Austin Stowell:Chris Mulkey,en,107,3300000,13092000,8.383,R
The Zone of Interest,15/12/2023,Drama,Jonathan Glazer,Christian Friedel:Sandra Hüller:Johann Karthaus,Luis Noah Witte:Nele Ahrensmeier:Lilli Falk,en,105,15000000,24186207,7.32,PG-13
Fear,27/01/2023,Drama,Deon Taylor,Joseph Sikora:Andrew Bachelor:Annie Ilonzeh,Ruby Modine:Iddo Goldberg:Terrence Jenkins,en,98,0,2100000,5.61,R
Three Thousand Years of Longing,24/08/2022,Drama,George Miller,Tilda Swinton:Idris Elba:Erdil Yaşaroğlu,Sabrina Elba:Sarah Houbolt:Seyithan Özdemir,en,108,60000000,20300000,6.877,R
Godzilla,14/05/2014,Drama,Gareth Edwards,Aaron Taylor-Johnson:Elizabeth Olsen:Juliette Binoche,Bryan Cranston:Ken Watanabe:Sally Hawkins,en,123,160000000,529100000,6.313,PG-13
