Title,ReleaseDate,GenreName,Director,LeadActors,SupportingActors,Language,Runtime,Budget,BoxOfficeRevenue,Rating,ReleaseType
Dumb Warfare: End of the Road,15/03/2024,Comedy:Documentary:Action,Zander Rice,Zander Rice:Blaze Rice,Zoey Rice:Khy Delgadillo,English,83,100,0,0,NR
Prey,15/03/2024,Action:Thriller,Mukunda Michael Dewil,Ryan Phillippe:Emile Hirsch,Mena Suvari:Dylan Flashner,English,86,0,0,4.7,
Warchief,08/01/2024,Fantasy:Adventure:Action,Stuart Brennan,Rosanna Miles:Stuart Brennan,Suzanne Packer:Mark Paul Wake,English,94,0,0,6.3,R
Yodha,15/03/2024,Action:Adventure:Thriller,Pushkar Ojha,Sidharth Malhotra:Disha Patani,Raashii Khanna:Shivangi Bhardwaj,Hindi,130,0,0,7,
The Big Split,14/03/2024,Science Fiction:Mystery:Thriller:Action,Derek Z. Bolden,Luke Hobbs:Graycen Fountain,Michael Vick:Nathan Smith II,English,7,1010,0,0,NR
Art of Love,14/03/2024,Romance:Action:Drama,Recai Karagöz,Birkan Sokullu:Esra Bilgiç,Fırat Tanış:Ushan Çakır,Turkish,99,0,0,7.216,PG-13
24 Hours with Gaspar,06/10/2023,Action:Crime:Drama:Mystery:Science Fiction:Thriller,Yosep Anggi Noen,Reza Rahadian:Laura Basuki,Shenina Cinnamon:Dewi Irawan,Indonesian,98,0,0,7.2,R
Civil War,10/04/2024,Action:Science Fiction:Drama,Alex Garland,Kirsten Dunst:Wagner Moura,Cailee Spaeny:Nick Offerman,English:Spanish,109,75000000,0,0,R
The Fall Guy,24/04/2024,Action:Comedy:Adventure,David Leitch,Ryan Gosling:Emily Blunt,Winston Duke:Aaron Taylor-Johnson,English,126,125000000,0,0,PG-13
Monkey Man,03/04/2024,Action:Thriller,Dev Patel,Dev Patel:Sharlto Copley,Pitobash:Vipin Sharma,English:Hindi,113,0,0,0,R
Odds and Evens,28/10/1978,Comedy:Crime:Action,Sergio Corbucci,Terence Hill:Bud Spencer,Luciano Catenacci:Marisa Laurito,English:Italian,115,0,0,6.9,PG
I'm for the Hippopotamus,30/11/1979,Action:Adventure:Comedy,Italo Zingarelli,Terence Hill:Bud Spencer,Joe Bugner:May Dlamini,French:Italian,95,0,0,6.765,PG-13
Who Finds a Friend Finds a Treasure,09/12/1981,Action:Adventure:Comedy,Sergio Corbucci,Terence Hill:Bud Spencer,John Fujioka:Louise Bennett,Italian,102,0,0,6.862,PG
Azrael,09/03/2024,Action:Horror,E.L. Katz,Samara Weaving:Vic Carmen Sonne,Katariina Unt:Nathan Stewart-Jarrett,No Language,85,0,0,6,
Agastya – Chapter 1,01/03/2024,Action:Mystery:Thriller,Saurav Chaudhary,Saugat Malla:Najir Hussain,Nischal Basnet:Malika Mahat,Nepali,170,0,0,0,
Yolo,10/02/2024,Drama:Comedy:Action,Jia Ling,Jia Ling:Lei Jiayin,Li Xueqin:Zhang Xiaofei,Mandarin,129,0,840000,5.9,PG-13
Kung Fu Panda 4,02/03/2024,Action:Adventure:Animation:Comedy:Family,Mike Mitchell,Jack Black:Awkwafina,Bryan Cranston:Viola Davis,English,94,85000000,176000000,6.874,PG
Damsel,08/03/2024,Mystery:Fantasy:Action:Adventure,Juan Carlos Fresnadillo,Millie Bobby Brown:Ray Winstone,Angela Bassett:Brooke Carter,English,110,60000000,5000,7.2,PG-13
Road House,08/03/2024,Action:Thriller,Doug Liman,Jake Gyllenhaal:Daniela Melchior,Billy Magnussen:Jessica Williams,English,121,0,0,6,R
The Thundermans Return,07/03/2024,Family:Science Fiction:Action:Comedy,Trevor Kirschner,Kira Kosarin:Jack Griffo,Addison Riecke:Diego Velazquez,English,70,1208,12,7.964,
Midnight,06/03/2024,Thriller:Action,Takashi Miike,Kento Kaku:Konatsu Kato,Yukiyoshi Ozawa:Takashi Miike,Japanese,19,0,0,6,NR
Pledging: The Movie,06/03/2024,Thriller:Action:Drama,Sam O'Quinn,Austin Petree:Tyler Wangen,Reid Heuerman:Lawson Berry,English,85,0,0,0,R
The Klutzy Witch: Fūka and the Dark Witch,31/03/2023,Animation:Action:Adventure:Fantasy,Takayuki Hamana,Honoka Inoue:Mutsumi Tamura,Manaka Iwami:Kensho Ono,Japanese,60,0,0,5.5,
GRUFF,01/03/2024,Animation:Family:Drama:Action:Western,Julian Curi,Joey Marie Urbina:Avila Kast,Charles Carpenter:Bradford Loomis,English:Spanish,9,25000,10000,10,NR
Blind Cop 2,01/03/2024,Action:Comedy,Alec Bonk,George Fearing:Isaac McKinnon,Brandon deSpain:Steven Vogel,English,83,35000,0,0,
Outlaw Posse,01/03/2024,Western:Action,Mario Van Peebles,Mario Van Peebles:William Mapother,John Carroll Lynch:D.C. Young Fly,English,108,0,0,6.5,R
The Moon Thieves,09/02/2024,Action:Crime:Thriller,Yuen Kim Wai,Edan Lui:Anson Lo,Louis Cheung:Michael Ning,Cantonese,108,0,2977663,6.5,
The Last Avenger,29/02/2024,Action:Adventure,Sky Deuel,Carter Humphrey:Nick Worthley,Clark Tansey:Magnolia Wilke,English,9,150,0,0,
Five Stars,28/02/2024,Horror:Action:Thriller,Paris Jade,Paris Jade:Natalie Wood,Steven Santiago,English,3,0,0,10,NR
Code 8 Part II,27/02/2024,Science Fiction:Action:Crime,Jeff Chan,Robbie Amell:Stephen Amell,Alex Mallari Jr.:Sirena Gulamgaus,English,101,0,0,6.579,R
Snow White and the 7 Samurai,01/03/2024,Action:Comedy,Michael Su,Quinton Jackson:Eric Roberts,Gina Vitori:Geena Alexandra,English,88,0,0,1,PG-13
Welcome To My World,15/02/2024,Action:Thriller:Mystery:Crime,Sergiusz Brasławski,Szymon Andrezejewski:Kacper Stencel,Inez Wilczewska:Mateusz Ciurkot,Polish,22,0,0,0,
Road to Paradise,24/02/2024,Adventure:Action:Comedy,Alison King,Katie Leuteritz:Jazz Wang Andera,Gabby Tanen:Alex Gurl,English,76,0,0,10,
Dragonkeeper,11/04/2024,Action:Adventure:Animation:Family:Fantasy,Salvador Simó,Mayalinee Griffiths:Bill Nighy,Naomi Yang:Bill Bailey,Mandarin:Spanish:English,99,0,0,0,PG
Firecracker,23/02/2024,Thriller:Action,Andrew-Lee Potts,Andrew-Lee Potts:Jason Flemyng,Nick Moran:Katie Sheridan,English,107,0,0,0,
Red Right Hand,22/02/2024,Crime:Action:Thriller,Eshom Nelms,Orlando Bloom:Andie MacDowell,Scott Haze:Chapel Oaks,English,111,0,0,7.246,
Tenet,22/08/2020,Action:Thriller:Science Fiction,Christopher Nolan,John David Washington:Robert Pattinson,Elizabeth Debicki:Kenneth Branagh,English:Estonian,150,205000000,365304105,7.181,PG-13
The Phantom Warrior,20/02/2024,Action:Fantasy:Science Fiction:Drama,Savvas D. Michael,Nicole Bartlett:Steven Berkoff,Dean Cain:Jenny Miller,English,83,0,0,2.333,R
The Abyss,15/09/2023,Thriller:Drama:Action,Richard Holm,Tuva Novotny:Peter Franzén,Kardo Razzazi:Felicia Truedsson,German:Swedish,104,0,0,5.816,R
Land of Bad,25/01/2024,Action:Thriller:War,William Eubank,Liam Hemsworth:Russell Crowe,Luke Hemsworth:Ricky Whittle,English,113,18000000,5045830,7,R
Lights Out,16/02/2024,Action:Thriller,Christian Sesma,Frank Grillo:Mekhi Phifer,Jaime King:Dermot Mulroney,Spanish:English,90,7000000,0,7,R
Love Punch Kill,14/02/2024,Action,Anthony Alba,Achara Kirk:Brandon Yates,Brandon Shealy:Justin Chang,English,14,0,0,0,
Art of Love,13/02/2024,Action:Thriller,Adam Silvia,Los Iglesias:Keith Van Nelson,Trinelle Bartholomew:Jake Lesh,English,97,0,0,0,
Fortunes of War,13/02/2024,War:Action,Bill Thomas,James Oliver Wheatley:Asan N'Jie,Sophie-Louise Craig:Daniel Thrace,English,85,0,0,0,
Narco Killer,01/01/2020,Thriller:Action:Drama:Crime,Christian Cavazos,Iván Aragón Montiel:Alexia Alexander Villa,Luca Valentini Padilla:Israel Islas Bustamante,English,103,0,0,5,
Madame Web,14/02/2024,Action:Fantasy,S.J. Clarkson,Dakota Johnson:Sydney Sweeney,Isabela Merced:Celeste O'Connor,English,116,80000000,96619699,5.522,PG-13
Agent State Farm,11/02/2024,Action:Thriller,Jim Jenkins,Arnold Schwarzenegger:Kevin Miles,Danny DeVito,English,1,0,0,9.3,
To The Future: The Movie,10/02/2024,Action:Comedy,Colton Bushie,Colton Bushie:jefftheweirdkid,Colton Bushie:MrTacoDude34,English,15,10,10,0,PG
Rekillection,09/02/2024,Drama:Action:Science Fiction,Cameron Cooke,Ranger Lerway:Cameron Cooke,Jonas Lerway:David Moon,English,12,4000,250,10,PG
Air Force One Down,09/02/2024,Action:Thriller,James Bamford,Katherine McNamara:Ian Bohen,Dascha Polanco:Rade Šerbedžija,English,84,0,0,6.076,R
Shin Spider-Man,04/02/2024,Action:Science Fiction,Daniel Reguinho,Gerard Chua:Gabriel Trigo,Charles Hayes:Kiyomi Nishimatsu,Japanese,3,100,0,0,
Death of a Slut,03/02/2024,Romance:Action,Charles Capp,Leo Mason:Andrew Playford,Lea Arnoult,English,6,0,0,10,
Argylle,31/01/2024,Action:Adventure:Comedy,Matthew Vaughn,Bryce Dallas Howard:Sam Rockwell,Bryan Cranston:Catherine O'Hara,English,139,200000000,94623605,6.173,PG-13
The Tiger's Apprentice,02/02/2024,Animation:Action:Adventure:Family:Fantasy,Raman Hui,Brandon Soo Hoo:Henry Golding,Lucy Liu:Sandra Oh,English,84,0,0,7.369,PG
Andromeda 3,01/02/2024,Action:Science Fiction,Brett Bentman,J. Benedict Larmore:Tom Zembrod,Lauren Lakis:Stephen Brodie,English,71,0,0,0,
Andromeda 2,01/02/2024,Action:Science Fiction,Brett Bentman,Tom Zembrod:Michael Dooley,Stephen Brodie:Rosco Nash,English,74,0,0,0,
Battle Legends: The Legend of Battle Master,01/02/2024,Action:Comedy,Matt Enos,Matt Enos:Michael C. Urchin,Donald Bulley:Cade Nickels,English,86,3000,0,9,
Mythica: Stormbound,31/01/2024,Fantasy:Adventure:Action,Jake Stormoen,Will Kemp:Ryann Bailey,Nicola Posener:Adam Johnson,English,104,0,0,0,
Penduko,25/12/2023,Action:Adventure:Fantasy,Jason Paul Laxamana,Matteo Guidicelli:Kylie Verzosa,John Arcilla:Phoebe Walker,Tagalog,109,1967354,0,0,
Lupin the Third: Sweet Lost Night,25/07/2008,Action:Animation:Comedy:TV Movie:Crime,Tetsuro Amino,Kanichi Kurita:Kiyoshi Kobayashi,Eiko Masuyama:Makio Inoue,Japanese,91,0,0,6.929,PG-13
